track_id,popularity,duration_ms,danceability,energy,loudness,instrumentalness,valence,tempo,track_genre
6PiIbpaBg3RKXpcGpgRHwQ,18,343306,0.454,0.743,-6.306,0.00373,0.471,132.043,afrobeat
7tYQXKBRjIafvyczPPUbbe,0,336360,0.407,0.771,-6.991,0.0,0.429,132.006,alt-rock
1wMG2dMCgh1Bn6d0XkOnHo,27,163385,0.336,0.761,-6.312,0.00284,0.501,127.065,acoustic
7uCBGNn991AM68fR4tSDco,69,237375,0.411,0.675,-6.251,0.0,0.545,130.134,alt-rock
1Vl9pXCmq6m2FbpxqHptTY,2,257812,0.395,0.751,-8.547,0.838,0.455,121.561,alt-rock
63Tsq3tqiZIOW9XHaDT3gi,0,218120,0.446,0.814,-3.421,0.000814,0.554,138.112,alt-rock
3tRPfCFAEv6wWyQO0YnGGV,59,90960,0.447,0.891,-4.776,0.000905,0.517,143.976,alt-rock
4uPvXmXGjYOOqhbRMmS9XU,26,270920,0.446,0.787,-7.334,0.0,0.586,125.642,acoustic
03SLq7KvMQuOMl3sTeN2Kj,0,216071,0.503,0.886,-5.085,8.98e-05,0.587,133.931,afrobeat
2RhJqgcxU7hy1KZ8xLGuky,22,225826,0.471,0.864,-5.079,0.843,0.486,119.095,afrobeat
5RfNONcEtbhBEGwAiDjoEv,18,197500,0.496,0.753,-6.673,0.0547,0.456,99.876,afrobeat
74G3HqFHDBqvev3Gow0luE,18,226586,0.637,0.671,-6.762,0.0,0.593,97.602,afrobeat
49NyAaqgD1KExP3L9IgqT8,35,223666,0.73,0.775,-8.161,0.00188,0.491,107.153,afrobeat
7AZAGSn2B1APKe2XBbzB2G,50,135320,0.467,0.855,-5.375,9.32e-06,0.565,135.813,acoustic
7aDOJxh95VAx7G76l9YajI,0,194506,0.511,0.714,-6.414,0.56,0.521,98.008,alt-rock
6VNgUdPze583ZMIqe9EAyF,1,222893,0.579,0.978,-5.327,0.000141,0.558,125.073,alt-rock
38hOrmc7D0YqWZ2QYdxgK2,49,204521,0.699,0.858,-6.603,0.000204,0.432,115.113,afrobeat
0y3MztD4t3mIPJdKTzYI2Z,18,402386,0.68,0.777,-5.853,0.522,0.425,105.052,afrobeat
2Szjsv5SLiGyCPAraUnNvk,17,357074,0.644,0.823,-6.564,0.194,0.508,104.967,afrobeat
4m0q0xQ2BNl9SCAGKyfiGZ,73,347525,0.618,0.793,-5.711,0.0154,0.459,101.015,alt-rock
4YgEwanzISFU4xa27saTux,47,304320,0.363,0.819,-3.128,0.0,0.468,122.527,acoustic
1POSMvQ2TKVN0D7GwOgK0W,28,202400,0.442,0.898,-4.662,4.11e-06,0.446,144.299,acoustic
7BsxlNsLgCMBNZ9CmAcbfv,27,159640,0.455,0.938,-4.316,1.21e-05,0.552,143.887,acoustic
3KhwEuqLNjHfsKaBDo1yVh,66,280466,0.473,0.936,-4.877,0.0422,0.416,144.014,alt-rock
